ID,Jméno místa,E-mail,Webová stránka / profil,Lokalita - kraj,Lokalita do 90 minut,Kapacita text,Kapacita max (číslo),Architektonický typ,Ubytování,Ubytování normalizace,Služby místa,Catering a pití,Catering normalizace,Večerní party,Party normalizace,Přidané hodnoty,Pronájem,Průměrná cena svatby,Další poznámka,Zdroj dohledání webu
43,Angusfarm,hana.sulcova@angusfarm.cz,https://angusfarm.cz,Plzeňský,Je nám to jedno,do 80,80,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,Možnost mít psa,"do 50.000,-","do 300.000,-",,https://angusfarm.cz
44,Krásná samota,krasnasamota@seznam.cz,https://krasnasamota.cz/,Ústecký,,do 80,80,"Ubytování na samotě, u rybníčku s krásnou krajinou",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Snoubenci mohou mít catering od nás ,nebo od jiného cateringu, není to podmínka ,aby měli náš .Vlastní pití mít mohou.",ověřit detail,Party max do 22.00,ověřit detail,"Sauna, rybníček v areálu.","80 000,-",Záleží jestli je to s cateringem nebo bez. Ale co se týče místa + ubytování tak to je 80 000 za celý prostor i se zahradou .,"Je to opravdu klidné místo, soukromí, a jsou tu svatby opravdu krásné .",https://krasnasamota.cz/
45,Kocanda Kravsko/ Stodola Suška,kocanda@stodola-suska.cz,https://stodola-suska.cz,Jihomoravský,od Brna,do 150,150,Zajímavé místo / unikát,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"pejsci josu vítání. servis naplánování svatby, dekorační tým vlastní","do 70.000,-",záleží na počtu hostů. takto se to nedá odhadnout,,https://stodola-suska.cz
46,Statek Jedraž,statekjedraz@gmail.com,https://www.jedraz.cz/,Jihočeský,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Sladké necháváme na snoubencích,ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Několik obřadních míst včetně mokré varianty , sauna , pejsci jsou vítáni , několik rybníků , rozlehlý areál na focení a aktivity , naprosté soukromí samoty","do 50.000,-","do 200.000,-",Jsme rodinný statek,https://www.jedraz.cz/
47,Hotel Horní Dvůr,Info@hotelhornidvur.cz,https://hotelhornidvur.cz,Vysočina,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Pět free, rybníky jezírka, farma",Dle domluvy,je nám to jedno,,https://hotelhornidvur.cz
48,Český ranč,rezervace-ceskyranc@seznam.cz,https://pronajem.ceskyranc.cz/svatba/,Liberecký,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Psi nejsou problém, půjčovna dekorací, možnost koordinace, vše kolem koní - focení, vození pro děti i dospělé","do 100.000,-","Nelze určitě, snoubenci si často věcí zařizují sami.",,https://pronajem.ceskyranc.cz/svatba/
49,U Dvou Stodol,udvoustodol@email.cz,https://www.udvoustodol.cz/,Královohradecký,od Prahy,do 60,60,"Mlýn, stodola, statek",Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,,"do 70.000,-","do 300.000,-",,https://www.udvoustodol.cz/
50,Statek Kopanina,Info@statek-kopanina.cz,https://statek-kopanina.cz,Karlovarský,od Plzně,do 80,80,"Mlýn, stodola, statek",Ano - do 20 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness - sauna, vířivka, bazén. Sportovní vyžití, trampolína pro děti, mokrá i suchá varianta","do 100.000,-","Záleží na svatebčanech, my nabízíme pouze prostor k pronájmu",,https://statek-kopanina.cz
51,Samota Hojšín,samota@hojsin.cz,https://hojsin.cz,Středočeský,od Prahy,do 150,150,"Příroda (louka, les, u vody)",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Koupací jezírko, sauna, psi bez poplatku, dětské hřiště, herna,","do 150.000,-","do 200.000,-","Cena svatby se může lišit dle počtu hostů a podle sezóny. Lze ubytovat i hosty nad kapacitu Samoty (možnost stanování, obytných vozů, karimatek ve velkém dětském pokoji)",https://hojsin.cz
52,Vinařství Sonberk,sonberk@sonberk.cz,https://sonberk.cz,Jihomoravský,od Brna,do 80,80,Zajímavé místo / unikát,Nemáme,Nemáme,"Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,Dle domluvy,ověřit detail,"vinařství Sonberk, unikát",záleží na datu,"do 300.000,-",,https://sonberk.cz
53,Modrá Stodola,svatba@modrastodola.cz,https://modrastodola.cz,Středočeský,Je nám to jedno,do 150,150,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Náš areál je velmi komplexní, nabízíme doprovodné aktivity: Wellness, Bowling, únikové místnosti, WRC simulátor, Airsoft, degustace, ohňostroj a mnoho dalšího. Pro nejmenší máme k dispozici dětské venkovní hřiště a vnitřní dětský koutek. Svatební sál je přímo propojen s venkovní terasou a zahradou s jezírkem a možností grilování. Přímo v areálu se i nachází hotel, recepce, parkoviště a i music club Alcatraz na večerní párty. Psi jsou také vítáni :)",Dle domluvy,"do 300.000,-","Modrá Stodola nedaleko Prahy je kouzelné svatební místo, které spojuje atmosféru historické venkovské stodoly s moderním komfortem a kompletním zázemím.

Dominantou areálu je kamenná stodola z 18. století s vysokými stropy, dřevěnými prvky a autentickou rustikální atmosférou, která vytváří jedinečné prostředí pro svatební obřad i hostinu.

Velkou výhodou je možnost uspořádat celý svatební den na jednom místě, od romantického obřadu, přes slavnostní hostinu až po večerní party, která může pokračovat až do rána v našem clubu Alcatraz. Vnitřní prostory lze flexibilně vybrat podle vašich představ a v letních měsících lze propojit svatební stodolu se zahradou a jezírkem.

Areál nabízí také ubytování v moderním hotelu přímo na místě, takže si novomanželé i hosté mohou svatební den užít bez starostí s přesuny. K dispozici je profesionální catering, zkušený svatební tým a široké možnosti doprovodného programu.

Vaši hosté se rozhodně nudit nebudou, čeká je bowling, únikové místnosti, airsoft, WRC simulátor a spousta dalšího! Na děti myslíme také, máme dětský koutek i venkovní hřiště.

Neváhejte nás kontaktovat a domluvte si nezávaznou prohlídku areálu, rádi vám Modrou Stodolu osobně ukážeme a pomůžeme naplánovat váš svatební den přesně podle vašich představ.",https://modrastodola.cz
54,penzion Zlatovláska,eliska.zivna@seznam.cz,https://www.penzionzlatovlaska.cz/,Jihočeský,od Prahy,do 60,60,Zámek,Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"wellness, mít psy","do 50.000,-","do 200.000,-",700 m od zámku červená Lhota,https://www.penzionzlatovlaska.cz/
55,Chata Kynast,Chatakynast@seznam.cz,https://www.chatakynast.cz/,Liberecký,od Prahy,do 100,100,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Terasa 200 m2 nebo louka na obřady přímo u lesa 10 000 m2 restaurace s barem, velký sál, malý sál ,kuchyně ,jídelna ,ubytování včetně lůžkovin vše na našich stránkách www.chatakynas.cz","do 50.000,-","do 100.000,-",Pronajímáme celý objekt na celý víkend a nebo dle potřeby. Od nás máte prostory a vše je na vás. Celý víkend do 50 000,https://www.chatakynast.cz/
56,Chata Kynast,chatakynast@seznam.cz,https://www.chatakynast.cz/,Liberecký,od Prahy,do 150,150,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"On nás si pronajmete prostory buď celý objekt nebo dle potřeby. obřady možné na louce přímo u lesa nebo na naší velké terase .dále k dispozici restaurace s barem a neomezenou hudbou velký sál, malý sál jídelna ,kuchyň ,ubytování včetně lůžkovin","do 50.000,-",48 000,Zvýhodněná cena za všechny prostory na celý víkend do 40 lidí 42 000 do 80 lidí 48 000 větší počet dohodou. Louka pro obřady 10 000 m2 i terasa 200m2 v ceně nájmu. V případě zájmu vše ukážeme při prohlídce objektu . Vše na www.chatakynast.cz . Vždy je lepší zavolat pro individuální nabídku 774 879571,https://www.chatakynast.cz/
58,Hotel Perla Jizery,hotel@hotel-perla-jizery.cz,https://hotel-perla-jizery.cz,Liberecký,od Prahy,do 80,80,"Příroda (louka, les, u vody)",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,obřad u horské říčky,"do 100.000,-","do 200.000,-",,https://hotel-perla-jizery.cz
59,Hotel Lužnice,info@hotel-luznice.cz,https://hotel-luznice.cz,Jihočeský,od Prahy,do 150,150,Hotelový styl,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,Dle domluvy,ověřit detail,krásné místo u řeky Lužnice,"do 50.000,-",je nám to jedno,,https://hotel-luznice.cz
60,Hotel Zlatý orel Ostravice,adadoubkova@seznam.cz,https://hotelzlatyorel.cz/svatby/,Moravskoslezský,od Ostravy,do 40,40,Hotel v přírodě v zámeckém stylu - původně letní sídlo Rotschildů,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Možnost mít až 3 psy včetně ubytování, wellness, venkovní gril, rozlehlá zahrada, fotbalové hriště (zatrávněné)","do 50.000,-",Záleží na velikosti svatby,Ubytování do 40-45 osob. Nešlo zvolit,https://hotelzlatyorel.cz/svatby/
61,Statek Štěpánovice,info@statekstepanovice.cz,https://statekstepanovice.cz,Jihočeský,Je nám to jedno,do 100,100,"Mlýn, stodola, statek",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellness, sportoviště, minigolf, zázemí pro děti ( hernička, dětské hřiště)","do 50.000,-","Netušíme kolik zaplatí, protože si mohou navolit vše podle svého ( catering, výzdobu...)","Statek je umístěn v klidné části, krásné prostředí a zázemí na svatbu",https://statekstepanovice.cz
62,Penzion U Malířských,rest.umalirskych@seznam.cz,https://www.penzion-u-malirskych.cz/,Jihočeský,od Českých Budějovic,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Hudba do 00:00 hodin ale párty muže pokračovat.,ověřit detail,Zahrada s rybníčkem a fotokoutky,"do 50.000,-","2500,-Kč/ osoba",,https://www.penzion-u-malirskych.cz/
63,Kvítkův Dvůr,kvitkuv.dvur@seznam.cz,https://www.svatby-krumlov.cz/,Jihočeský,od Českých Budějovic,do 60,60,zámeček - zámecký statek dříve součást areálu zámku Č. Krumlov,Ano - v okolí do 10 minut,"ano, přímo v místě","obřad, hostina a party pro až 52 osob; ubytování pro až 15 osob, ostatní ve městě","vlastní jídlo a pití snoubenců bez poplatků, nebo zajistíme catering",vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Unikátní rokokový sál, rokokový kabinet pro přípravu nevěsty před obřadem, rybníček, za příplatek zapůjčujeme na hostinu repliky celozlacených rokokových příborů Solingen, bez příplatku zapůjčujeme na hostinu luxusní příbory Toner classic prestige","do 78 000 při 52 svatebčanech - viz naše stránky, bez ceny ubytování","Cena pronájmu prostor a mobiliáře se u nás odvíjí od počtu svatebčanů, viz naše stránky.","Nabízíme zámecké prostory pro svatební obřady i celá svatby, kde interiér sálu je vyzdoben vrcholným dílem českého malíře Jakuba Františka Prokyše dokončeným v roce 1757. 
Kapacita sálu pro svatební obřad je až 100 osob a tento obřad může být spojený s přípitkem. 
Pro svatební hostiny v zámeckých prostorách máme kapacitu nanejvýš do 52 osob,
pokud mají být stoly sestaveny do tabule, pak je kapacita sálu pro hostinu jen 42 osob.
Některé svatby, zejména svatby s větším počtem svatebčanů, mívají u nás jen obřad nebo obřad s přípitkem a následně odjíždí na hostinu jinam, ty nejpočetnější zpravidla do jízdárny zámku Český Krumlov.
Pro zázemí venkovní party a grilování pronajímáme dvojdomek s pěti třílůžkovými pokoji, třemi koupelnami a dvěma vybavenými kuchyněmi, část svatebčanů ve dvojdomku může přespat.
U nás cenu svatby tvoří jen pronájem prostor a mobiliáře. Jídlo a pití si pořizují snoubenci sami, nebo jim doporučujeme skvělou a u nás opakovaně vyzkoušenou cateringovou firmu, od které si mohou objednat celou hostinu včetně obsluhy.
Součástí pronajímaných zámeckých prostor je kuchyň vybavená nádobím, třemi velkými lednicemi, myčkou nádobí, sporákem, pěti kávovary na překapávanou kávu a rychlovarnými konvicemi.",https://www.svatby-krumlov.cz/
64,Stodola Holašovice,emelichar@volny.cz,https://www.stodolaholasovice.cz/,Jihočeský,20 min od ČB,do 100,100,"Mlýn, stodola, statek",Ano - do 30 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Do půlnoci,ověřit detail,,"do 50.000,-","do 200.000,-",,https://www.stodolaholasovice.cz/
65,Statek Všetice,svatby@vsetice.cz,https://vsetice.cz,Středočeský,od Prahy,do 150,150,"Více dohromady - máme 3 hotely (přes 130 ubytovacích míst, u vody - rybníčky, biotop, stodola - Hodovna, Restaurace u bazénu) bývalé statky",Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Většinou dodáváme vše, ale snoubenci mohou mít vlastní pití za korkovné a občas si mohou zajistit i část speciálního cateringu za poplatek.",ověřit detail,"Oficiálně zavíráme francouzská okna do 22-23 hod., ale většinou bývá otevřeno do konce (do 2:00 h.v zálladním čase)., máme dobré vztáhy, pořádáme dokonce festival - pro představu.",ověřit detail,"Domácí mazlíčci ano, rybníčky, koupární, sauna, vířivka, možnost aktivit (fotokoutek, lukostřelba, skákací hrad, branky na fotbal, rybaření atd.).",Dle termínu se liší,Opět dle termínu se výrazně liší,Pouze dle dohody různé ohňostroje - jsme u stájí,https://vsetice.cz
66,Hotel BRDY,info@hotelbrdy.cz,https://hotelbrdy.cz,Plzeňský,do 30 min od Plzně,do 60,60,Stylová restaurace italského baroka s barokními sloupy,Ano do 50 osob,"ano, přímo v místě","obřad - zámek/zámecký park Spálené Poříčí cca 100m u našeho hotelu, u nás pouze hostina a party, případně ubytování.",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,Party max do 23h,ověřit detail,Hotelový park v areálu je nyní v rekonstrukci. Rekonstrukce by měla do konce léta být hotová. Areál hotelu je dostatečně velký. Uvnitř hotelu je možnost pro snoubence využití wellness zóny se saunou a vířivými vanami.,"60 000,- (pouze sobota)","do 200.000,-",,https://hotelbrdy.cz
67,Mlýn Kováry,mlynkovary@gmail.com,https://mlynkovary.cz/,Středočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Nemáme,Nemáme,"Kromě ubytování platí, že jaké si to uděláte, takové to máte :)",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,Party možná až do rána. Od půlnoci ale bez elektrifikované hudby.,ověřit detail,"Psi, kočky, děti, tchyně a jiná zvířata jsou vítána. Mlýn je u potoka. V areálu je ohniště a koupací jezírko. Obřad je možné organizovat i na blízkém staroslovanském hradišti Budeč (10-15 min chůze).",Dle domluvy,Rozpočty svatby jsou soukromou věcí svatebčanů. Tyto informace nemáme.,,https://mlynkovary.cz/
68,Statek Háječek,statekhajecek@gmail.com,https://www.statekhajecek.cz/,Plzeňský,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,možnost mít psa,"do 100.000,-","do 300.000,-",,https://www.statekhajecek.cz/
69,Lovecká chata Horka nad Moravou,info@naloveckou.cz,https://naloveckou.cz,Olomoucký,od Olomouce,do 150,150,"Lovecká chata, myslivecká tematika, příroda, koně",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"příroda, western, koně, pes, samota, les",Dle domluvy,"do 200.000,-",,https://naloveckou.cz
70,Panství Velichov,panstvivelichov@seznam.cz,https://www.panstvivelichov.cz/,Ústecký,od Prahy,do 100,100,Zajímavé místo / unikát,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Psa ano, rybníček ano, les, minizoo, jízda úzkokolejkou mezi zvířaty, podzemní galerie hutního skla (největší v ČR) - prohlídka s komentářem, lasershow","do 50.000,-","do 300.000,-",Svatby kompletně na klíč včetně individuální výzdoby na přání.,https://www.panstvivelichov.cz/
71,Restaurace a penzion Šindlovská krčma,provoz@sindlovskakrcma.cz,https://sindlovskakrcma.cz,Jihočeský,od Prahy,do 150,150,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,,Dle domluvy,je nám to jedno,,https://sindlovskakrcma.cz
72,Top Hotel Praha,directorfb@tophotel.cz,https://tophotel.cz,Praha,od Prahy,nad 150,150,Hotelový styl,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci můžou mít vlastní pití,ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Svatební apartmá pro novomanželé zdarma,Záleží na zvoleném sále či restauraci,Jelikož máme vícero možností a děláme svatby pro 30 osob ale i pro 400osob nedá se úplně průměrovat.,,https://tophotel.cz
73,Donátův mlýn,martina@donatuvmlyn.cz,https://donatuvmlyn.cz,,od Prahy,do 80,80,"Mlýn, stodola, statek",Ano - v okolí do 10 minut,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"řeka, možnost využít lodičku, snoubenci mohou mít s sebou psa, zapůjčení dekorací v rámci pronájmu, parkování pro 30 osobních aut, možnost stanování v ceně pronájmu","do 70.000,-",je nám to jedno,,https://donatuvmlyn.cz
74,Štiřínská stodola,letsmarry@email.cz,https://www.stirinskastodola.cz/,Středočeský,od Prahy,do 100,100,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"wellness, focení na mole u rybníčku, možnost mít psa, půjčovna dekorací, květinový servis na místě, vlastní cukrářka","do 70.000,-","do 200.000,-",,https://www.stirinskastodola.cz/
75,Sudetský grunt,info@roubenkypodoborou.cz,https://roubenkypodoborou.cz,Olomoucký,od Olomouce,do 40,40,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"K dispozici je wellness s finskoiu saunou, ovocný sad s velkou travnatou plochou na polosamotě ke konání svatebního obřadu. Svatební stodola se zázemím ke konání hostiny. Ubytování ve dvou krásných roubených domech, stodole a nově opraveném sudetském domě.","do 70.000,-","do 200.000,-",Unikátní místo v jesenické přírodě. Genius loci v Sudetech. Nově zrekonstruovaný německý dům s parádní stodolou. Více na www.roubenkypodoborou.cz,https://roubenkypodoborou.cz
76,Hotel Lony,akce@lony.cz,https://lony.cz,Středočeský,od Prahy,nad 150,150,"Mlýn, stodola, statek",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Wellness apartmán, okrasná zahrada s jezírky, pet friendly, více míst pro konání svatby",Dle počtu osob,Záleží na počtu osob a přání,,https://lony.cz
77,Letenský zámeček,office@letenskyzamecek.cz,https://letenskyzamecek.cz,Praha,,do 100,100,Zámek,Nemáme,Nemáme,"Obřad, hostina, párty",Snoubenci můžou mít vlastní pití,ověřit detail,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Možnost mít psa, hudební altánek k dispozici, výhled na Prahu, focení v salónku ve věži, oddělený salónek pro přípravu nevěsty","do 50.000,-","do 300.000,-",,https://letenskyzamecek.cz
78,Hotel Sen,svatby@hotelsen.cz,https://hotelsen.cz,Středočeský,od Prahy,do 100,100,Hotelový styl,Ano - vice jak 80 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party","Snoubenci musí mít catering a pití od nás, mohou mít však vlastní svatební dort a sweet bar.",povinný interní catering/pití,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"Wellness, masáže, možnost mít psa, svatební apartmá na 2 noci v rámci svatebního balíčku, zvýhodněné ubytování pro svatební hosty.","do 50.000,-","do 200.000,-","Romantický hotelový resort SEN v zámeckém stylu je ideálním místem pro svatbu snů, kde máte vše pohodlně na jednom místě. Svatební obřad můžete prožít pod širým nebem na kouzelném svatebním palouku v zámecké zahradě nebo zvolit elegantní variantu v jednom z našich stylových sálů. Pro svatební hostinu nabízíme několik prostor podle velikosti svatby – od útulného francouzského sálu s balustrádou až po prostorný sál Watson & Lada s křišťálovými lustry a tanečním parketem. Samozřejmostí je krásná základní výzdoba, plánování i koordinace svatebního dne, ochotný personál a možnost ubytování pro novomanžele i hosty přímo v hotelu. Výhodná poloha v blízkosti Prahy a snadná dostupnost z dálnice D1 zajistí pohodlnou dopravu pro všechny svatebčany. Resort nabízí také možnost exkluzivního pronájmu celého objektu, díky čemuž si svůj velký den užijete v naprostém soukromí a bez starostí.",https://hotelsen.cz
79,Resort Hulín,charousovalucie@seznam.cz,https://www.resorthulin.cz/akce/svatby,Středočeský,od Prahy,do 80,80,"Příroda (louka, les, u vody)",Ano nad 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"psi vítáni, rybníky, mini zoo, obřad na mole,","50.000,- mimo sezonu, 70.000,- v sezoně, nebo uzavření pouze restaurace","záleží na počtu hostů, uzavření areálu, průměrně do 200.000,-",,https://www.resorthulin.cz/akce/svatby
80,Chata Kovář,Chatakovar@email.cz,https://www.chatakovar.cz/svatby/,Liberecký,od Prahy,do 150,150,"Příroda (louka, les, u vody)",Ano - vice jak 80 osob,"ano, přímo v místě",Může být i čistě jen pronájem,Dle domluvy,dle domluvy,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,"Pes vítán
Areál od pátku - posezení u grilu s přáteli před svatbou , spaní v chatičkách",Zatím nepožadujeme pronájem,"do 200.000,-",Jsme rodinný podnik a snažíme se vyjít maximálně vstříc.,https://www.chatakovar.cz/svatby/
81,Ořechový dvůr,info@orechovydvur.cz,https://orechovydvur.cz,Jihočeský,od Českých Budějovic,do 60,60,"Mlýn, stodola, statek",Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci mají možnost vlastního pití a jídla bez poplatků,vlastní jídlo/pití bez poplatků,"Party možná i po 22.00, pouze s přesunem do párty místnosti.",po 22:00 s přesunem dovnitř,"pes, biotop, louka, svatební Vejminek","do 100.000,-","do 100.000,-","kapacita svatby - 50 - 60 osob, ubytování 40 osob",https://orechovydvur.cz
82,Výletní restaurace Dymník,info@dymnik.cz,https://dymnik.cz,Ústecký,Je nám to jedno,do 150,150,Zajímavé místo / unikát,Ano do 50 osob,"ano, přímo v místě","Komplet vše na jednom místě - hostina, obřad, ubytování, party",Snoubenci musí mít catering a pití od nás,povinný interní catering/pití,"Máme místo, kde nerušíme noční klid",bez nočního limitu / neruší okolí,Možnost mít psa,"do 50.000,-","do 200.000,-","Vy dva máte své první rande a námluvy za sebou a vaše kroky nyní směřují ke společnému životu zvanému manželství. Tomu ale předchází jeden z těch velkých dnů – svatba. Dovolte nám proto vrátit se na začátek – do doby, kdy jste se poznávali a těšili se jeden na druhého. Doufáme, že je tomu tak i nadále. I my se nyní vydáváme na symbolické „námluvy“ mezi vámi a námi, navzdory všem konkurentům, abyste si nakonec vybrali právě náš areál.

Svatba na Dymníku není jen událost – je to zážitek. Obřad vám připravíme u kamenného stromu života, případně v lese či na louce – vše vám rádi osobně ukážeme. Následovat může slavnostní oběd, odpolední káva, večerní raut a celodenní zábava v krásném prostředí naší výletní restaurace.

Ať už plánujete komorní obřad se svědky, nebo větší svatbu pro rodinu a přátele, u nás jste na správném místě. Náš zkušený tým pro vás připraví svatbu na míru. Vaším jediným úkolem bude zajištění termínu na matrice – o vše ostatní se postaráme my.",https://dymnik.cz
